"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1511","Hootel Login","test","Mon Jan 12 17:54:56 UTC 2026","passed","Mon Jan 12 17:54:57 UTC 2026","TestHootel","test_hootel","",""
"","1096","test_hotel_list","test","Mon Jan 12 17:55:02 UTC 2026","passed","Mon Jan 12 17:55:03 UTC 2026","TestHootel","test_hootel","",""
